family,variant,round,max_features,n_topics,svd_components,relevance_accuracy,relevance_f1,relevance_precision,relevance_recall,direction_accuracy,direction_f1_macro,action_accuracy,action_f1_macro,online_final_accuracy,online_early_by_50_rate,online_before_cue_rate,online_median_stable_correct_pct,n_train_docs,n_val_docs,n_val_rate_relevant,error,run_id,chosen_relevance_threshold,chosen_no_signal_threshold,chosen_direction_threshold,chosen_margin_threshold,feature_mode,uncertain_rate_signal_rate,direction_eval_labels,n_threshold_docs,n_test_docs,n_test_rate_relevant,action_f1_macro_all_labels,action_eval_labels,chosen_lower_override_threshold,chosen_lower_override_gap,chosen_threshold_family
SGDClassifier,alpha=2e-5,1,12000,6,24,0.9069069069069068,0.9418386491557224,0.9543726235741444,0.9296296296296296,0.6037037037037037,0.2599681020733652,0.6036036036036037,0.3781384367321867,0.6142857142857143,0.6428571428571429,0.3170731707317073,10.0,1177.0,333.0,270.0,,20260427T031050Z_43a07e7c,0.5,0.35,0.38,0.06,sparse,0.024024024024024,,,,,,,,,
SGDClassifier,alpha=8e-5,1,12000,6,24,0.90990990990991,0.9411764705882352,1.0,0.8888888888888888,0.5962962962962963,0.2567783094098884,0.6096096096096096,0.3885345804988662,0.6214285714285714,0.65,0.3170731707317073,10.0,1177.0,333.0,270.0,,20260427T031050Z_43a07e7c,0.55,0.35,0.38,0.02,sparse,0.045045045045045,,,,,,,,,
RidgeClassifier,alpha=0.8,1,12000,6,24,0.9129129129129128,0.943248532289628,1.0,0.8925925925925926,0.5851851851851851,0.2538152610441767,0.5345345345345346,0.3551904795770808,0.5142857142857142,0.6,0.2682926829268293,10.0,1177.0,333.0,270.0,,20260427T031050Z_43a07e7c,0.55,0.4,0.38,0.02,sparse,0.1651651651651651,,,,,,,,,
RidgeClassifier,alpha=1.8,1,12000,6,24,0.8978978978978979,0.932806324110672,1.0,0.8740740740740741,0.5592592592592592,0.2504145936981758,0.5195195195195195,0.3579612939285964,0.5071428571428571,0.5785714285714286,0.2682926829268293,10.0,1177.0,333.0,270.0,,20260427T031050Z_43a07e7c,0.55,0.4,0.38,0.02,sparse,0.1681681681681681,,,,,,,,,
DummyMostFrequent,most_frequent,1,12000,9,24,0.8108108108108109,0.8955223880597015,0.8108108108108109,1.0,0.6777777777777778,0.2693156732891832,0.5495495495495496,0.1773255813953488,0.4928571428571429,0.4928571428571429,0.3170731707317073,10.0,1177.0,333.0,270.0,,20260427T031050Z_43a07e7c,0.45,0.3,0.38,0.02,sparse,0.0,,,,,,,,,
LogisticRegression,C=0.6,1,12000,9,24,0.8948948948948949,0.930966469428008,0.9957805907172996,0.8740740740740741,0.5185185185185185,0.2462620932277924,0.5315315315315315,0.3723659003831417,0.5071428571428571,0.6071428571428571,0.3170731707317073,10.0,1177.0,333.0,270.0,,20260427T031050Z_43a07e7c,0.55,0.3,0.38,0.02,sparse,0.066066066066066,,,,,,,,,
LogisticRegression,C=1.4,1,12000,9,24,0.8948948948948949,0.930966469428008,0.9957805907172996,0.8740740740740741,0.5703703703703704,0.2547559966914806,0.5675675675675675,0.3807863332319854,0.55,0.6285714285714286,0.3170731707317073,10.0,1177.0,333.0,270.0,,20260427T031050Z_43a07e7c,0.62,0.35,0.38,0.02,sparse,0.072072072072072,,,,,,,,,
SGDClassifier,alpha=2e-5,1,12000,9,24,0.924924924924925,0.952561669829222,0.9766536964980544,0.9296296296296296,0.6407407407407407,0.2651340996168582,0.6516516516516516,0.3941099521498158,0.6285714285714286,0.6571428571428571,0.3170731707317073,10.0,1177.0,333.0,270.0,,20260427T031050Z_43a07e7c,0.45,0.4,0.38,0.02,sparse,0.006006006006006,,,,,,,,,
SGDClassifier,alpha=8e-5,1,12000,9,24,0.8918918918918919,0.9288537549407114,0.9957627118644068,0.8703703703703703,0.6370370370370371,0.2648190916089299,0.6216216216216216,0.3926916911803562,0.6357142857142857,0.6428571428571429,0.3170731707317073,10.0,1177.0,333.0,270.0,,20260427T031050Z_43a07e7c,0.62,0.3,0.38,0.02,sparse,0.06006006006006,,,,,,,,,
RidgeClassifier,alpha=0.8,1,12000,9,24,0.9039039039039038,0.9372549019607844,0.9958333333333332,0.8851851851851852,0.5962962962962963,0.2638176638176638,0.5345345345345346,0.3598073912475297,0.5214285714285715,0.5928571428571429,0.2926829268292683,10.0,1177.0,333.0,270.0,,20260427T031050Z_43a07e7c,0.55,0.4,0.38,0.02,sparse,0.1741741741741741,,,,,,,,,
